,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,win
91,6110,2,3,4,186,2852,5925,7,7,1116,10,1367,5,5925,5086,0,4,2,0,790,3650,6,6,210,11,1849,5,3650,7517,6,0,3,100,1229,6625,11,11,6303,11,4487,7,6625,7871,5,1,4,160,1894,6350,8,8,9,11,12124,4,6350,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,5585,2,2,1,0,1198,5075,11,11,2129,10,6421,5,5075,19223,13,8,7,1066,4981,18450,23,23,11418,18,5421,10,18450,6005,4,4,1,282,678,4350,9,9,8936,10,794,3,4350,8321,2,6,4,435,323,6650,16,16,4922,12,0,11,6650,3338,0,5,3,226,22,3175,9,9,2163,8,1374,12,3175,1
92,7196,2,8,1,328,34,7250,10,10,668,12,780,7,7250,10429,2,3,4,0,2947,10550,21,21,2574,14,1232,9,10550,11065,5,2,2,3151,64,10725,26,26,13558,14,8187,5,10725,8232,5,8,2,670,605,8275,18,18,3575,11,2697,7,8275,8402,3,1,16,724,676,7625,51,51,1155,12,3816,32,7625,12628,11,2,8,3529,1514,9400,12,12,5334,15,4537,6,9400,13016,7,9,5,784,3212,12350,22,22,8012,17,3399,7,12350,10018,8,1,2,159,925,9075,21,21,15215,13,990,2,9075,10790,6,5,9,1031,6535,9505,15,15,2952,14,318,6,9505,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
93,13167,9,4,18,0,3258,10250,18,18,10819,16,16667,8,10250,11071,6,8,9,3795,7768,10908,30,30,9574,15,1367,9,10908,13816,11,7,11,2077,2287,13200,39,39,18270,16,7388,10,13200,16529,16,6,4,5305,9760,15625,26,26,6741,14,3186,11,15625,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,11131,7,9,8,3301,922,11050,18,18,2770,14,4101,8,11050,8077,1,9,5,4086,3761,7793,14,14,1416,14,544,10,7793,9563,3,7,11,659,0,9550,23,23,17224,14,12718,8,9550,6374,0,5,4,0,2807,6100,6,6,3444,10,502,5,6100,10290,8,10,14,1164,547,8850,59,59,454,13,27760,32,8850,1
94,15164,8,11,13,1590,6125,15000,46,46,7487,16,34606,17,15000,8060,3,7,4,5684,1787,7008,6,6,2948,13,1069,6,7008,11473,12,6,9,881,0,11350,18,18,13463,14,2333,8,11350,10790,6,5,9,1031,6535,9505,15,15,2952,14,318,6,9505,8075,4,5,19,533,1123,7425,46,46,564,12,3225,21,7425,13289,6,7,6,0,4960,12125,24,24,11211,16,2202,10,12125,8966,3,7,1,2775,6497,8025,24,24,9675,14,752,10,8025,8173,3,8,5,2124,771,7950,9,9,7207,12,0,3,7950,12763,4,8,20,1743,2567,11350,31,31,18125,16,0,13,11350,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
95,12385,9,11,5,1148,2951,12200,14,14,1753,14,174,8,12200,10072,4,7,4,0,1333,9550,27,27,7395,14,0,11,9550,9789,4,11,9,634,482,8925,53,53,14871,13,17809,5,8925,11593,5,10,9,146,2887,10860,12,12,5460,13,4134,8,10860,3357,1,2,0,0,348,2900,21,21,519,7,2125,10,2900,11527,3,9,27,0,4451,9650,21,21,8517,15,13572,8,9650,12137,5,7,13,102,793,12225,26,26,4039,16,7364,10,12225,7297,3,7,3,630,0,6775,19,19,7631,12,15401,7,6775,19998,13,3,14,433,14098,20000,31,31,5843,18,3133,7,20000,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
96,8403,3,6,3,48,0,8385,12,12,782,12,6403,8,8385,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,9700,8,3,10,538,322,8875,22,22,13493,13,3841,6,8875,7473,2,6,3,53,188,6850,10,10,1297,12,8338,6,6850,7049,3,7,1,0,1801,6500,8,8,3214,11,0,4,6500,12201,11,3,9,3175,4548,9700,14,14,3086,14,9657,8,9700,5385,1,4,3,1137,1619,4075,15,15,2434,10,1014,5,4075,15888,14,4,5,1006,2087,13525,63,63,17331,18,3666,29,13525,10578,7,1,8,1394,8505,8600,17,17,5293,13,2440,6,8600,6746,2,3,14,658,55,5525,43,43,6517,11,3019,18,5525,0
97,7595,3,8,3,0,171,6500,14,14,2232,12,13100,9,6500,6725,0,7,5,0,1434,6225,12,12,872,13,2814,6,6225,11578,11,10,10,1092,0,11225,21,21,17079,14,10089,3,11225,7867,4,2,0,150,0,7933,17,17,1560,12,2115,10,7933,4484,0,5,4,0,411,4385,24,24,2863,9,2719,18,4385,11231,8,1,10,88,8640,9725,13,13,7174,14,17033,7,9725,12242,9,5,5,880,6032,11890,11,11,3647,14,0,6,11890,10153,1,11,27,692,0,9850,38,38,13281,15,9846,9,9850,9245,6,1,5,104,3572,7200,15,15,3742,12,1412,8,7200,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
98,8261,2,6,1,534,73,8050,19,19,2278,12,7084,12,8050,7467,1,2,3,190,665,6400,23,23,3791,12,621,10,6400,8834,2,4,3,360,382,8750,38,38,14102,13,7936,13,8750,10130,1,2,4,0,4474,9400,29,29,5001,12,814,8,9400,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,13085,6,1,5,2688,6080,12175,25,25,2350,15,2522,10,12175,9859,1,1,4,0,3209,8700,21,21,4360,15,3747,9,8700,11819,8,0,3,1173,1577,8850,22,22,18280,16,19032,10,8850,10092,2,2,4,104,7908,7950,20,20,3595,13,302,6,7950,6783,0,3,6,182,1446,6225,49,49,1321,11,2649,26,6225,0
99,16590,13,12,14,100,9146,16910,18,18,1465,16,26045,7,16910,9671,4,8,5,190,291,9735,21,21,2016,14,11564,10,9735,7129,2,5,5,208,0,6200,24,24,9006,11,569,4,6200,14920,17,3,8,212,5171,13330,14,14,5683,14,2352,9,13330,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,7040,2,9,1,0,40,6525,12,12,2773,12,3165,6,6525,7876,2,7,0,0,2932,6985,13,13,1267,12,7341,8,6985,9700,8,3,10,538,322,8875,22,22,13493,13,3841,6,8875,15758,13,7,12,737,10244,15075,32,32,5246,16,6471,14,15075,4118,1,3,1,420,0,3625,35,35,160,8,1378,19,3625,1
100,11330,6,5,11,0,1111,10075,20,20,1760,15,15304,6,10075,13516,7,1,13,473,9108,13175,12,12,10251,17,9402,5,13175,16272,20,6,8,1196,5107,15035,28,28,10630,16,2962,13,15035,15758,13,7,12,737,10244,15075,32,32,5246,16,6471,14,15075,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,15632,11,3,8,100,9830,13725,26,26,14563,17,29049,11,13725,10602,5,5,6,102,0,10075,19,19,2751,15,40,9,10075,13091,10,4,4,1659,513,10725,40,40,17469,16,9691,3,10725,10643,4,14,8,1469,1220,9700,15,15,2131,13,0,6,9700,10447,4,11,14,0,1625,10175,53,53,8098,13,1043,30,10175,1
101,7924,2,5,5,136,859,7450,10,10,2344,12,6476,4,7450,14193,5,4,7,2734,5751,13600,39,39,3830,16,5604,11,13600,13276,2,4,12,1247,2627,12175,46,46,11423,16,4795,10,12175,13439,2,3,3,1045,3653,12000,39,39,2694,16,29,11,12000,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,11067,5,5,4,0,786,10000,28,28,2560,15,13112,13,10000,9206,7,2,6,0,0,8875,16,16,3606,13,966,7,8875,11879,12,4,11,2376,733,12050,22,22,13647,13,1814,9,12050,10958,7,2,6,528,1537,10375,17,17,4984,14,940,7,10375,8672,4,7,10,324,629,7525,56,56,5271,12,9621,33,7525,1
102,6713,1,1,2,0,148,6550,13,13,713,12,3260,7,6550,10974,1,1,9,628,11365,10025,25,25,4015,14,2423,13,10025,8231,2,5,2,463,0,7535,59,59,16790,13,6846,7,7535,12142,13,2,2,430,13433,9475,8,8,1196,12,823,4,9475,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,12908,7,10,8,144,2548,11200,15,15,757,16,27159,9,11200,4229,0,4,1,251,0,3600,14,14,184,9,690,7,3600,7500,4,7,2,305,2740,7100,13,13,9327,10,347,1,7100,4846,0,6,1,97,0,4650,3,3,1186,9,103,4,4650,3405,0,6,1,294,0,2925,23,23,167,8,1974,10,2925,1
103,8640,0,5,2,1485,1526,8000,16,16,917,14,66,6,8000,10531,5,5,1,220,2523,9475,32,32,3233,15,2266,9,9475,8231,2,5,2,463,0,7535,59,59,16790,13,6846,7,7535,12867,10,5,4,570,1896,12100,11,11,5719,14,3560,10,12100,7453,4,5,5,496,774,6925,39,39,2062,11,4134,18,6925,13115,9,1,1,737,8172,10883,20,20,437,16,943,11,10883,10131,3,3,5,0,6460,8750,19,19,5544,14,3291,10,8750,9725,4,4,7,911,2365,8210,11,11,12764,15,16166,4,8210,9752,4,7,10,0,6193,8475,7,7,4634,13,2283,6,8475,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
104,20369,32,8,3,12364,5603,21385,17,17,15588,17,24097,9,21385,10429,2,3,4,0,2947,10550,21,21,2574,14,1232,9,10550,11065,5,2,2,3151,64,10725,26,26,13558,14,8187,5,10725,15051,2,10,6,26,5686,14400,27,27,2043,17,7536,11,14400,5759,1,4,4,660,717,5500,42,42,1171,10,2634,22,5500,11410,5,4,6,0,3006,9400,30,30,6345,15,14382,11,9400,13654,12,3,3,105,3743,13025,31,31,492,16,25125,12,13025,10674,4,5,7,1418,926,9635,26,26,9678,14,3848,5,9635,11581,3,3,10,0,4394,8725,32,32,3323,13,0,13,8725,7424,2,2,12,767,1188,5925,63,63,10420,13,6182,27,5925,0
105,7307,0,4,4,0,1020,7150,22,22,1382,12,47,10,7150,10486,3,8,1,0,4006,10460,19,19,9554,15,413,5,10460,24527,29,4,10,3250,334,23220,40,40,30693,18,6479,5,23220,6671,6,2,0,0,425,6500,10,10,2974,10,210,7,6500,11612,2,7,25,150,1222,10700,103,103,15267,17,13010,42,10700,15070,9,12,10,1827,1050,14150,28,28,3889,17,2694,6,14150,6583,3,2,6,0,2463,5260,13,13,4640,13,3924,6,5260,13781,11,12,8,1795,211,13450,39,39,15948,17,29258,12,13450,15051,2,10,6,26,5686,14400,27,27,2043,17,7536,11,14400,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
106,7307,0,4,4,0,1020,7150,22,22,1382,12,47,10,7150,9995,0,0,3,852,1707,9950,22,22,4126,15,0,11,9950,9181,3,3,6,859,154,9125,23,23,14746,13,2824,3,9125,4303,1,2,1,0,0,3825,3,3,202,8,0,4,3825,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,10476,2,3,1,72,8378,9325,18,18,3205,15,1818,12,9325,8813,0,3,4,737,4456,7625,8,8,4550,13,1131,5,7625,11000,7,2,2,879,772,8485,53,53,24059,15,13549,2,8485,12293,6,3,6,0,11400,11075,22,22,6406,14,1299,6,11075,6977,1,3,10,584,558,6325,55,55,548,11,3241,30,6325,0
107,13827,10,4,10,2959,2531,11950,25,25,1357,17,4380,11,11950,10021,1,3,11,0,2109,9625,9,9,2169,15,4828,8,9625,9700,8,3,10,538,322,8875,22,22,13493,13,3841,6,8875,13445,15,7,7,2094,1963,12875,20,20,3705,14,6372,7,12875,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,14746,14,9,11,2900,3196,12050,28,28,13404,16,4536,10,12050,7769,1,8,9,0,1427,7000,12,12,466,14,5176,7,7000,12928,9,5,17,838,1911,11275,42,42,17934,15,17205,10,11275,6145,3,4,1,0,2235,5700,9,9,1505,9,516,4,5700,6918,1,8,18,766,599,6575,47,47,781,12,3978,24,6575,0
108,17589,12,3,6,2335,9217,14625,32,32,1702,17,11828,9,14625,10960,1,5,4,3954,4302,9850,15,15,1892,16,124,9,9850,11661,4,2,14,931,402,11650,46,46,10452,15,5378,7,11650,14723,10,2,9,2197,4939,14950,31,31,6712,15,5200,9,14950,7878,2,4,13,348,133,7825,65,65,4084,12,2725,32,7825,15164,8,11,13,1590,6125,15000,46,46,7487,16,34606,17,15000,10021,1,3,11,0,2109,9625,9,9,2169,15,4828,8,9625,8172,2,5,9,656,1375,7600,33,33,9715,12,1298,11,7600,12721,6,4,2,7946,0,9110,13,13,2764,14,46,7,9110,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
109,6992,3,0,4,869,2083,6175,13,13,2416,11,1030,5,6175,6931,3,2,2,0,972,6850,13,13,1499,11,0,7,6850,5976,2,0,1,251,1152,4975,21,21,9947,10,2364,5,4975,9658,10,0,4,894,9066,8150,11,11,3533,11,1530,6,8150,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,13827,10,4,10,2959,2531,11950,25,25,1357,17,4380,11,11950,4746,1,5,0,0,0,4250,6,6,212,10,2886,4,4250,4812,2,6,1,375,0,3700,7,7,3650,8,443,2,3700,11110,0,8,12,1689,1039,10800,25,25,6240,15,3302,6,10800,3200,0,5,2,0,0,2675,12,12,186,7,2294,11,2675,1
110,10813,1,3,7,0,0,9625,19,19,1617,16,19698,7,9625,13744,8,6,5,183,6630,12680,36,36,7633,17,7366,12,12680,10787,3,5,8,913,401,10775,25,25,17524,15,3321,6,10775,13280,6,3,3,506,1144,11933,25,25,4819,15,7834,12,11933,7490,2,5,10,185,232,6525,71,71,4117,12,4019,32,6525,11941,4,4,3,1190,1757,10625,16,16,2218,16,13429,3,10625,11707,3,8,9,40,2737,10250,12,12,6639,16,50,8,10250,13091,10,4,4,1659,513,10725,40,40,17469,16,9691,3,10725,10120,5,7,12,370,4029,9650,25,25,1114,14,448,10,9650,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
111,4149,0,3,0,0,0,3785,4,4,0,9,3621,4,3785,4293,0,3,1,0,620,3950,3,3,2609,10,4110,2,3950,8428,4,2,10,382,1421,5800,13,13,10713,13,8001,6,5800,4303,1,2,1,0,0,3825,3,3,202,8,0,4,3825,3424,0,2,2,410,0,3025,23,23,983,7,1348,14,3025,18076,11,7,14,1646,4427,15925,37,37,12613,18,711,10,15925,9001,4,4,1,1609,3235,8850,12,12,2079,12,151,6,8850,5976,2,0,1,251,1152,4975,21,21,9947,10,2364,5,4975,6829,2,0,2,0,5014,5750,7,7,1632,9,1649,4,5750,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
112,17359,3,11,12,4973,8738,17700,34,34,13261,18,6433,16,17700,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,7779,2,7,2,658,0,7700,30,30,10385,12,7244,5,7700,13439,2,3,3,1045,3653,12000,39,39,2694,16,29,11,12000,11374,6,10,3,0,2349,11867,24,24,9053,15,2136,8,11867,13682,8,4,14,0,6263,13000,26,26,3426,16,18245,14,13000,15090,13,6,8,4225,5053,13830,24,24,7653,17,6570,11,13830,8484,5,4,1,462,0,7800,11,11,7288,12,5931,3,7800,10988,3,2,11,0,2813,10450,29,29,3160,14,1363,12,10450,7802,1,4,11,1066,0,6400,65,65,7198,13,8627,29,6400,0
113,15632,11,3,8,100,9830,13725,26,26,14563,17,29049,11,13725,8939,4,7,25,1901,234,8150,83,83,9194,13,10759,46,8150,11578,11,10,10,1092,0,11225,21,21,17079,14,10089,3,11225,14518,14,6,12,2791,5510,12300,21,21,7362,15,514,9,12300,13201,5,0,7,0,11663,11600,19,19,6290,17,4069,9,11600,10637,4,4,7,40,1829,10025,24,24,3022,15,25223,9,10025,7909,1,8,2,0,1601,7475,12,12,2979,13,1635,8,7475,8071,4,0,4,514,234,6350,26,26,7490,12,2151,5,6350,12649,9,8,9,130,3665,11275,27,27,3841,15,1936,10,11275,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
114,12258,10,9,2,1500,2889,12075,20,20,1570,16,1362,7,12075,10346,1,7,3,0,2107,10158,26,26,4787,15,5279,9,10158,10641,7,6,9,4711,0,10000,14,14,10473,14,12096,2,10000,13706,11,8,10,523,7688,11750,21,21,3863,15,1403,9,11750,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,14337,14,3,7,673,4292,11175,24,24,35082,16,25796,7,11175,15184,8,8,13,0,7782,15275,24,24,13521,18,1655,13,15275,12942,9,2,16,1711,830,12925,39,39,17829,16,5127,8,12925,12649,9,8,9,130,3665,11275,27,27,3841,15,1936,10,11275,10152,4,3,23,256,370,8325,76,76,10923,15,10244,30,8325,0
115,9776,7,1,4,136,2951,8500,13,13,2068,13,7070,6,8500,7454,1,9,8,3922,0,7350,4,4,4847,12,1368,3,7350,12465,8,13,11,5348,2987,11250,16,16,13078,15,0,1,11250,19061,19,11,11,3930,9252,16200,21,21,2800,17,2296,9,16200,11407,4,13,32,1086,1512,10800,67,67,1258,15,6936,34,10800,9855,2,10,8,0,0,9750,18,18,4657,14,14557,7,9750,11027,2,12,17,0,281,10650,40,40,3352,16,22745,14,10650,8261,1,3,13,542,1701,6650,14,14,9999,13,381,3,6650,19664,21,13,8,1705,1697,23360,46,46,4727,17,4297,10,23360,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
116,8694,5,4,11,320,353,7950,18,18,2192,12,8118,8,7950,8923,5,3,4,2776,6248,8783,12,12,3910,14,783,6,8783,11879,12,4,11,2376,733,12050,22,22,13647,13,1814,9,12050,3352,0,8,2,0,0,3100,6,6,334,7,385,4,3100,7995,5,3,19,614,261,7900,40,40,8086,12,7246,21,7900,9994,9,2,2,768,772,8358,14,14,5610,14,4953,8,8358,10188,4,5,5,0,2289,9975,16,16,3621,13,3717,9,9975,7429,3,6,8,380,0,7350,8,8,7754,11,847,1,7350,28047,28,7,5,1671,15581,23560,42,42,15520,18,756,12,23560,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
117,9003,1,10,9,1490,1201,9210,38,38,2688,14,0,15,9210,12576,3,5,10,0,3133,11700,19,19,1870,16,21622,8,11700,14433,12,9,7,7158,2291,13475,33,33,17292,16,0,5,13475,18405,15,3,12,1189,12381,15500,16,16,4600,17,1677,12,15500,8443,0,5,19,1092,2303,7450,92,92,2235,14,4984,54,7450,12876,5,3,10,1064,6712,12050,21,21,12497,16,1334,6,12050,12511,7,4,4,1081,5483,11500,31,31,4153,16,56,13,11500,14652,15,5,8,8398,1077,14375,36,36,11572,16,22379,4,14375,10944,5,9,12,0,1139,9935,11,11,6001,14,14315,5,9935,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
118,9207,1,6,5,0,415,8575,17,17,6199,14,9716,7,8575,13759,7,9,8,8857,3375,12700,22,22,11152,16,783,10,12700,13161,7,6,8,1898,375,13300,18,18,7872,15,23317,5,13300,11110,0,8,12,1689,1039,10800,25,25,6240,15,3302,6,10800,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,14639,13,3,7,649,1805,12400,14,14,5099,17,0,2,12400,13979,7,7,7,1795,8795,13400,26,26,4001,17,1098,13,13400,15083,13,1,10,663,3585,12975,28,28,15214,16,504,5,12975,10504,1,8,15,0,2136,10130,28,28,3433,14,8586,22,10130,14745,13,3,13,4631,7515,13325,68,68,17208,16,786,35,13325,0
119,7315,1,4,2,0,765,7050,9,9,2626,12,6415,6,7050,6752,1,6,2,1803,0,5958,12,12,1216,13,297,7,5958,9101,4,4,1,565,1877,6475,9,9,12413,12,457,2,6475,7030,2,6,1,0,953,6000,7,7,2222,11,0,6,6000,5705,2,10,4,659,0,5200,22,22,104,9,3357,10,5200,7924,2,5,5,136,859,7450,10,10,2344,12,6476,4,7450,9692,8,3,4,2448,9176,9275,8,8,6425,13,1903,5,9275,9958,3,1,8,2468,1490,7750,18,18,13619,15,6423,8,7750,12937,3,9,4,1558,2312,12810,26,26,2982,15,408,10,12810,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
120,8397,2,8,10,2692,1548,8575,8,8,3704,13,11843,9,8575,6752,1,6,2,1803,0,5958,12,12,1216,13,297,7,5958,13645,11,7,14,6346,4349,11900,28,28,16261,16,92,7,11900,13456,10,1,9,4321,11765,10525,22,22,2062,12,267,8,10525,3357,1,2,0,0,348,2900,21,21,519,7,2125,10,2900,7307,0,4,4,0,1020,7150,22,22,1382,12,47,10,7150,6824,1,3,4,0,285,6425,16,16,1050,12,131,6,6425,8484,5,4,1,462,0,7800,11,11,7288,12,5931,3,7800,12542,10,4,8,224,2954,14405,24,24,3414,15,7122,8,14405,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
121,9776,7,1,4,136,2951,8500,13,13,2068,13,7070,6,8500,13308,5,2,11,3203,15042,12208,12,12,6260,16,1012,7,12208,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,9343,2,7,10,24,3275,8775,31,31,2098,13,479,10,8775,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1174,1,1,0,0,0,550,0,0,359,2,0,0,550,7111,2,1,2,0,2354,5425,16,16,2212,12,1687,8,5425,8985,7,8,3,1192,0,8375,13,13,9596,12,950,3,8375,11635,5,7,5,1561,5890,11800,13,13,2541,13,1510,5,11800,5957,0,11,12,994,292,5775,46,46,1298,10,6750,25,5775,1
122,13945,14,3,6,640,2814,12300,17,17,3044,16,26382,7,12300,10637,4,2,4,4038,8319,9325,13,13,2772,15,0,5,9325,10674,4,5,7,1418,926,9635,26,26,9678,14,3848,5,9635,12440,7,7,11,340,7352,9750,30,30,4959,14,3094,11,9750,6379,0,5,12,756,983,5350,48,48,499,12,3920,27,5350,8397,2,8,10,2692,1548,8575,8,8,3704,13,11843,9,8575,12886,4,3,13,0,3214,11225,42,42,13258,17,0,12,11225,5285,1,1,7,205,0,4250,8,8,17921,10,2868,2,4250,6924,3,5,0,220,202,5925,22,22,1402,10,2111,8,5925,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
123,13975,5,7,10,0,1451,13650,24,24,570,17,24848,11,13650,22625,23,4,10,1328,10750,22305,28,28,16898,18,0,4,22305,17437,23,6,5,1698,0,18065,35,35,19384,16,47466,12,18065,13700,6,6,11,368,8289,12500,17,17,4101,16,5697,9,12500,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,15539,9,10,12,1036,1182,15450,23,23,4409,17,19796,9,15450,14250,6,8,4,1437,4130,13700,39,39,4618,17,3248,15,13700,14886,18,0,7,2192,3238,13375,39,39,9972,16,6574,4,13375,4353,0,3,3,0,0,3050,5,5,1098,7,1745,3,3050,10132,2,13,12,1432,869,8850,73,73,4543,15,13263,38,8850,1
