,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,win
10,7405,3,4,6,468,0,6435,15,15,3860,12,8741,3,6435,12515,7,4,2,48,6110,11833,27,27,3151,16,3674,10,11833,11024,12,5,17,753,2561,9400,26,26,6345,13,5098,4,9400,7030,2,6,1,0,953,6000,7,7,2222,11,0,6,6000,7142,2,1,13,782,832,6125,51,51,3584,11,5234,20,6125,12636,0,4,9,0,4876,11875,40,40,2961,16,24743,10,11875,7433,0,6,4,2946,0,7350,33,33,929,14,295,10,7350,13608,14,4,10,487,6335,13475,32,32,18675,15,19164,9,13475,13135,6,4,1,138,6283,12925,24,24,601,14,1158,8,12925,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
11,10778,3,4,6,884,1455,8975,25,25,5776,15,8504,14,8975,11090,7,3,5,4142,3513,10083,14,14,4234,15,1142,8,10083,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,10641,5,6,6,434,5828,8975,10,10,1017,13,2250,5,8975,5665,2,6,13,524,57,5175,46,46,491,9,4033,27,5175,9007,4,6,2,2260,973,8025,25,25,0,13,714,10,8025,6496,0,8,3,358,562,6100,10,10,5867,12,5855,6,6100,9789,9,8,3,767,643,9225,19,19,10619,12,555,6,9225,7565,5,3,4,128,2776,5950,14,14,2505,11,2437,7,5950,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
12,10654,6,5,5,808,459,9925,12,12,3723,13,11216,8,9925,10278,4,2,6,0,5911,9850,12,12,1343,15,2847,7,9850,13103,10,1,12,5626,1470,11975,30,30,13255,16,16497,11,11975,6312,0,9,4,0,0,6275,13,13,1309,12,1302,8,6275,7257,1,13,15,1309,167,6975,76,76,46,12,6575,38,6975,8174,5,4,2,2077,1160,7500,11,11,2520,11,1761,7,7500,11121,2,6,9,88,3236,9825,22,22,4574,16,426,10,9825,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,14056,10,7,13,248,6840,12975,25,25,2953,16,9254,9,12975,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
13,8174,5,4,2,2077,1160,7500,11,11,2520,11,1761,7,7500,10278,4,2,6,0,5911,9850,12,12,1343,15,2847,7,9850,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,16855,9,4,8,50,7410,15250,22,22,7120,17,20903,11,15250,7416,2,0,15,184,724,5750,49,49,1196,12,4228,24,5750,10654,6,5,5,808,459,9925,12,12,3723,13,11216,8,9925,9397,4,8,5,0,1780,8825,13,13,1850,13,3941,7,8825,9588,6,2,3,416,0,9125,19,19,10061,13,6454,2,9125,6312,0,9,4,0,0,6275,13,13,1309,12,1302,8,6275,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
14,11350,8,6,16,3179,4982,10650,4,4,6892,14,605,3,10650,9140,3,9,9,154,3903,8000,12,12,8112,13,0,8,8000,6580,1,6,3,725,158,5700,21,21,6543,10,0,6,5700,12686,9,4,7,257,4460,10850,37,37,7476,15,5308,8,10850,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,12457,9,8,7,612,2122,12375,15,15,1489,14,17664,8,12375,7846,4,7,12,144,369,6825,17,17,2528,12,3487,5,6825,6469,1,4,3,599,0,6350,25,25,11423,11,492,5,6350,10619,7,8,9,1680,445,10750,18,18,6,14,525,8,10750,9605,5,10,17,3332,0,9200,88,88,1951,14,606,38,9200,1
15,13179,10,2,12,22,4618,12225,15,15,1858,16,24575,7,12225,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,7945,2,5,7,877,68,7775,17,17,6448,12,7960,8,7775,15217,12,3,7,91,11212,13775,22,22,9067,14,1134,10,13775,11467,5,4,4,48,4541,10975,19,19,5819,14,2941,8,10975,9792,6,15,1,0,0,8825,13,13,5957,13,14782,7,8825,9379,3,6,14,0,2116,7350,27,27,23699,14,4826,11,7350,10967,9,5,3,4567,1394,10725,22,22,10933,14,0,9,10725,10274,5,6,6,863,2262,9025,25,25,827,12,1414,8,9025,8335,0,4,20,804,1464,7250,73,73,10924,15,3820,34,7250,0
16,9792,6,15,1,0,0,8825,13,13,5957,13,14782,7,8825,7846,4,7,12,144,369,6825,17,17,2528,12,3487,5,6825,15255,15,3,5,1617,4275,12650,32,32,11386,16,703,11,12650,13988,14,5,9,440,14673,14125,11,11,1092,12,2731,6,14125,7204,2,2,26,378,264,6675,39,39,1891,11,3188,21,6675,5879,4,6,1,244,1124,5660,10,10,2351,10,6802,6,5660,7571,3,5,6,0,1336,6875,8,8,3996,12,1386,8,6875,7480,4,10,2,391,0,6975,15,15,8231,11,7492,7,6975,10274,5,6,6,863,2262,9025,25,25,827,12,1414,8,9025,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
17,9792,6,15,1,0,0,8825,13,13,5957,13,14782,7,8825,10379,10,2,2,0,11153,9575,10,10,5434,12,5477,6,9575,10967,9,5,3,4567,1394,10725,22,22,10933,14,0,9,10725,8831,0,6,6,0,1604,8325,20,20,0,13,712,10,8325,5650,1,7,9,746,0,5050,24,24,2457,12,2865,14,5050,16590,13,12,14,100,9146,16910,18,18,1465,16,26045,7,16910,12089,7,7,5,1804,9746,10750,19,19,5759,15,0,9,10750,11088,6,0,10,1127,659,10275,34,34,18321,14,15249,3,10275,13325,7,12,3,449,3514,12700,20,20,6722,14,3442,10,12700,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
18,11419,11,3,10,984,2222,10010,19,19,221,15,2174,5,10010,11260,8,8,6,1987,2244,11350,20,20,5583,15,6938,11,11350,5163,2,7,1,459,0,4150,6,6,4063,8,1746,3,4150,13410,13,5,15,206,5815,12375,23,23,1028,14,3935,11,12375,9983,2,5,3,152,9060,8500,12,12,6198,14,4475,7,8500,12049,9,6,5,382,1126,11475,23,23,110,13,2867,10,11475,9352,0,12,2,1908,5295,9500,8,8,634,14,95,5,9500,8555,4,10,4,818,0,8200,27,27,5517,12,10624,7,8200,6805,2,13,3,334,189,6550,10,10,562,11,2438,7,6550,10041,4,4,11,1875,252,9350,97,97,6758,12,57,43,9350,1
19,7405,3,4,6,468,0,6435,15,15,3860,12,8741,3,6435,11278,3,5,5,1174,6098,11075,11,11,4958,15,0,6,11075,11907,4,3,13,6859,3040,11000,38,38,17553,16,81,9,11000,11311,4,6,15,5548,4164,9675,25,25,1452,14,2235,15,9675,6640,0,1,13,335,792,5525,46,46,5204,10,3299,15,5525,10793,7,3,11,171,2409,10960,15,15,1870,14,20529,10,10960,9352,0,12,2,1908,5295,9500,8,8,634,14,95,5,9500,12282,1,9,25,1185,1117,11300,26,26,12536,17,9493,10,11300,7718,3,6,0,88,370,7775,8,8,2385,11,975,5,7775,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
