,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
358,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,True,0
359,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,0
360,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,1
361,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,0
362,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0
363,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,True,False,True,True,True,0
364,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,1
365,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,0
366,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
367,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0
368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,0
369,False,False,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,0
370,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,0
371,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,True,1
372,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,1
373,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,0
374,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,0
375,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,0
376,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,0
377,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,0
378,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,1
379,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,1
380,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,1
381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,0
382,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,1
383,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,0
384,False,True,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,1
385,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,0
386,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,True,True,1
387,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,1
388,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,,,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,1
389,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,0
390,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,,,,,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,1
391,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,True,True,True,1
392,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,0
393,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,False,True,1
394,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,1
395,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0
396,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,0
397,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,0
398,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,1
399,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,0
400,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,1
402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0
403,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0
404,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,0
405,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,0
406,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,,,,,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
407,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,1
408,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,0
409,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,0
